"","input","filtered","denoisedF","denoisedR","merged","nonchim","Tot_Perc_Retained"
"3001_264_L001_R1_001.fastq.gz",24087,23607,23114,23207,21541,21420,0.889276373147341
"3002_199_L001_R1_001.fastq.gz",20085,19735,19382,19360,18023,18013,0.896838436644262
"3003_284_L001_R1_001.fastq.gz",27864,26906,26316,26514,24073,24073,0.863946310651737
"3004_263_L001_R1_001.fastq.gz",21323,20821,20310,20448,18687,18641,0.87422032547015
"3005_335_L001_R1_001.fastq.gz",32049,31323,30766,30918,28697,28572,0.891509875503136
"3006_208_L001_R1_001.fastq.gz",19948,19627,19410,19495,18811,18611,0.932975736915982
"3007_122_L001_R1_001.fastq.gz",22059,21526,21079,21185,19539,19521,0.884944920440636
"3008_55_L001_R1_001.fastq.gz",20811,20327,19922,20067,18419,18397,0.884003651914853
"3009_228_L001_R1_001.fastq.gz",28178,27524,27098,27268,25682,25132,0.891901483426787
"3010_22_L001_R1_001.fastq.gz",26633,26087,25464,25738,23220,23217,0.871738069312507
"3011_21_L001_R1_001.fastq.gz",23460,22732,22108,22346,20349,20324,0.866325660699062
"3012_136_L001_R1_001.fastq.gz",24761,24278,23724,23898,21784,21769,0.879164815637494
"3013_68_L001_R1_001.fastq.gz",25782,25214,24598,24783,22559,22534,0.874020634551237
"3015_377_L001_R1_001.fastq.gz",27541,26908,26439,26595,25707,25620,0.930249446280092
"3016_72_L001_R1_001.fastq.gz",15589,15214,14800,14916,13499,13470,0.864070819167362
"3017_30_L001_R1_001.fastq.gz",20425,19961,19516,19652,17937,17929,0.877796817625459
"3018_392_L001_R1_001.fastq.gz",11034,10930,10599,10682,9588,9588,0.868950516585101
"3019_6_L001_R1_001.fastq.gz",28319,27777,27328,27464,25530,25462,0.899113669267983
"3021_223_L001_R1_001.fastq.gz",27806,27239,26795,26905,25443,25251,0.908113356829461
"3022_49_L001_R1_001.fastq.gz",34102,33313,32721,32941,30922,30375,0.890710222274353
"3023_63_L001_R1_001.fastq.gz",35781,35007,34320,34480,32350,32169,0.899052569799614
"3025_339_L001_R1_001.fastq.gz",22474,22039,21467,21584,19455,19422,0.864198629527454
"3026_124_L001_R1_001.fastq.gz",19062,18633,18172,18275,16516,16492,0.865176791522401
"3027_94_L001_R1_001.fastq.gz",50556,49670,49163,49007,47405,47290,0.935398370124219
"3028_239_L001_R1_001.fastq.gz",22962,22541,22095,22204,20861,20831,0.907194495253027
"3029_294_L001_R1_001.fastq.gz",17769,17330,16722,17005,15235,15224,0.856773031684394
"3030_16_L001_R1_001.fastq.gz",17521,17166,16692,16849,15219,15211,0.868158210147823
"3031_265_L001_R1_001.fastq.gz",23010,22587,22074,22142,20353,20300,0.882225119513255
"3032_352_L001_R1_001.fastq.gz",10688,10444,10011,10166,8762,8762,0.819797904191617
"3033_150_L001_R1_001.fastq.gz",27133,26532,26007,26092,24823,24731,0.911473113920318
"3034_238_L001_R1_001.fastq.gz",26469,25701,25325,25473,24387,24200,0.914277078846953
"3036_23_L001_R1_001.fastq.gz",29394,28778,28277,28327,26254,26216,0.891882697149078
"3037_28_L001_R1_001.fastq.gz",43175,42391,41639,41811,38793,38744,0.897371163867979
"3038_147_L001_R1_001.fastq.gz",28738,28204,27744,27878,26174,26050,0.906465307258682
"3039_111_L001_R1_001.fastq.gz",37075,36346,35701,35799,33217,33152,0.894187457855698
"3040_97_L001_R1_001.fastq.gz",33968,33158,32213,32698,29762,29748,0.875765426283561
